application_round,project_wallet,last_updated,project_id,title,description,website,github_user,project_github,project_twitter,previous_funding,team_size,verified_twitter_or_github,links_to_github_or_org,created_at,updated_at
0xd95a1969c41112cee9a2c931e849bcef36a16f4c,0x3394f31640dc15c1cc6259402fd774436a3e56ac,0,1:0x03506eD3f57892C85DB20C36846e9c808aFe9ef4:235,orb,"A decentralized social media app where the user has complete control over their identity, content, and monetization.",https://gitcoin.co/grants/7785/orb,nileshrathore,orb-club,orbwagmi,grants,3,yes,github.com/orb-club/,2023-01-17 01:11:47,2023-01-17 01:11:47
0xd95a1969c41112cee9a2c931e849bcef36a16f4c,0x62179db9a70cb6005596c04e6faa8274dfa7b2d1,0,10:0x8e1bD5Da87C14dd8e08F7ecc2aBf9D1d558ea174:56,B4B WORLD,"B4B.WORLD is a Web3 influencer ads platform with reputation-based rewards.

B4B allows Web3 Companies:
- use the influencer Ad channel with safe borderless payments 
- make fast and quality ads with active and advertising-ready influencers
- get approved privacy information and open the reputation of influencers for a better choice

Influencers can:
- receive pre-paid Ad orders on the free dates
guarantee of full payment after posting ads via smart-contract
- increase reputation through activity on the platform and quality of ads
- earn transferable Rewards monthly based on Reputation

B4B.world has a dual-token reputation system to motivate influencers’ activity and long-term work. As a result, Advertisers choose an influencer based on a transparent portfolio and receive advertising approval within 24 hours on the desired date. The best influencers earn more rewards and withdraw it into real money.

You can test the App here: 
(Aurora testnet)
	Influencer App - https://testnet-influencer.b4b.app/
	Brand App - https://testnet-brand.b4b.app/

	Demo with workflow for brands and influencers:
	https://youtu.be/u9WSZr2Jg2I?t=86

Mainnet release B4B 1.0 :
https://b4b.app
https://influencer.b4b.app
",https://b4b.world,@antonpecherkin,https://gitlab.com/b4b-world/b4b-contracts,b4b_world,"Aurora Grant, NEAR Grant, TRON Hackathon, Axelar Hackathon",3,"Verified Twitter (b4b_world), and have open-source code on GitLab",https://gitlab.com/b4b-world/b4b-contracts,2023-01-17 11:36:59,2023-01-17 11:36:59
0xd95a1969c41112cee9a2c931e849bcef36a16f4c,0x1f51c8990234522b66a9a3d1b48552ee0728493d,0,10:0x8e1bD5Da87C14dd8e08F7ecc2aBf9D1d558ea174:55,Spotify for WEB3,Grant for WEB 3 Web3 Open Source Software Round,https://open.spotify.com/,https://github.com/Jensnicolaigustavsen,Hedera-Hash-developer,polkadotlover33,Grants and savings,6,Yes,https://github.com/Jensnicolaigustavsen,2023-01-17 00:39:35,2023-01-17 00:39:35
0xd95a1969c41112cee9a2c931e849bcef36a16f4c,0x1d6cb99ff20223d730ae5d4680ec5154b7fdaefe,0,1:0x03506eD3f57892C85DB20C36846e9c808aFe9ef4:227,UBI,Universal Basic Income aims to address economic inequality and provide security for every human on Earth. Let's fight poverty with $UBI💧,https://ubi.eth.limo,santisiri,DemocracyEarth,ubidoteth,Non profits,5,Yes,Democracy Earth Foundation,2023-01-16 18:08:35,2023-01-16 18:08:35
0xd95a1969c41112cee9a2c931e849bcef36a16f4c,0x7bd7de26ebd064465bb9c272513bb3bcbddb1e93,0,1:0x03506eD3f57892C85DB20C36846e9c808aFe9ef4:69,White Hat DAO,"Safety and security should be at the heart of all platforms, especially public goods services, which is why we are passionate about reporting on the safety of web3 projects and protocols. The team aims to use its knowledge to give back to the Ethereum and wider web3 community with our due diligence and smart contract testing. Our website launched in the final week of 2022, marking the public launch of our safety ratings platform. The platform is a public resource that aggregates information on projects and their teams, token ratings, price information, available liquidity pools, and more. Our aim is to make interacting with the blockchain as safe and secure as possible.",https://whitehatdao.com,NF-Thinker,WhiteHatDAO,White_Hat_DAO,Grants + raising funds through smart contract audits and web3 services,19,Yes,https://github.com/WhiteHatDAO,2023-01-08 21:15:59,2023-01-08 21:15:59
0xd95a1969c41112cee9a2c931e849bcef36a16f4c,0xeee718c1e522ecb4b609265db7a83ab48ea0b06f,0,1:0x03506eD3f57892C85DB20C36846e9c808aFe9ef4:190,devpill,"DevPill.me - A public good blockchain development guide. 
https://gitcoin.co/grants/4975/devpillme-a-public-good-blockchain-development-gu",https://devpill.me,dcbuild3r,dcbuild3r,dcbuild3r,"Gitcoin grants, Mirror.xyz collection NFTs ",1,Yes,https://github.com/dcbuild3r,2023-01-13 17:05:23,2023-01-13 17:05:23
0xd95a1969c41112cee9a2c931e849bcef36a16f4c,0x8012b593917f74dd8c5233fd509b9a02d1bc7079,0,1:0x03506eD3f57892C85DB20C36846e9c808aFe9ef4:90,Metopia,Metopia is a non-transferable badge protocol for communities and contibutors. It is also a platform which empowers non-financialized DAO governance and reasonable incentive systems.,https://metopia.xyz,MetopiaDev,Metopian,MetopiaMetopian,GR15,10,Yes,https://github.com/Metopian,2023-01-12 04:04:23,2023-01-12 04:04:23
0xd95a1969c41112cee9a2c931e849bcef36a16f4c,0xb25c5e8fa1e53eeb9be3421c59f6a66b786ed77a,0,1:0x03506eD3f57892C85DB20C36846e9c808aFe9ef4:150,Officer's Blog,The best Crypto OpSec guides & tips - for your safety!,https://officercia.mirror.xyz,https://github.com/OffcierCia/Crypto-OpSec-SelfGuard-RoadMap,,@officer_cia,"Gitcoin, Pessimistic.io ",1,Yes,https://github.com/OffcierCia/ultimate-defi-research-base,2023-01-12 08:21:59,2023-01-12 08:21:59
0xd95a1969c41112cee9a2c931e849bcef36a16f4c,0x9fe6764778db6ad5c5ed86242485d1a868a8c52a,0,1:0x03506eD3f57892C85DB20C36846e9c808aFe9ef4:94,DefiLab.xyz,"Building ☆ Tools ☆ for the Defi Community



Small independent team creating tools to help Defi Users quantify the risks and the rewards of providing Liquidity to various Defi Protocols.

All our tools are Open-Source and free to use.



Development updates:

Q2 2021
Creation of Uniswap V3 Simulator --> https://defi-lab.xyz/uniswapv3simulator
Creation of Polygon Network dashboard (Gas fee calculator) ---> https://defi-lab.xyz/polygonnow

Q3/Q4 2021
Backtester Functionality added to Uniswap V3 Simulator

Q1/Q2 2022
Open source Uniswap V3 Backtester functionality --> https://github.com/DefiLab-xyz/uniswap-v3-backtest
Creation of Perpetual V2 Simulator --> https://defi-lab.xyz/perpetualsimulator

Q4 2022
Support different Network (Optimism, Arbitrum, Polygon, Celo)
Backtester improvments",https://defi-lab.xyz/,staceb,DefiLab-xyz,DefiLab_xyz,grants,2,yes,https://github.com/DefiLab-xyz,2023-01-10 10:21:11,2023-01-10 10:21:11
0xd95a1969c41112cee9a2c931e849bcef36a16f4c,0x619b75f4d55285741a24b047944fbdf27e49f9d1,0,1:0x03506eD3f57892C85DB20C36846e9c808aFe9ef4:64,Nflow,The Nflow protocol can tokenize your nft and nftize your nft token,https://nflow.online,,Nflow-Label,nflowlabel,none,1 person,yeah,confrimed,2023-01-07 10:15:59,2023-01-07 10:15:59
0xd95a1969c41112cee9a2c931e849bcef36a16f4c,0x81bbc5e83901ca95bb85e3d1916d04d434e7f2bd,0,1:0x03506eD3f57892C85DB20C36846e9c808aFe9ef4:237,Dweb Movement,"A movement to create a Decentralized Web that serves all, not just a select few",https://getdweb.org,https://gitlab.com/getdweb/dweb-gatsby/-/blob/master/README.md,,GETDWeb,donations,12,"we use gitlab (in the name of reduced centralization!), twitter is verified",https://gitlab.com/getdweb,2023-01-17 03:28:59,2023-01-17 03:28:59
